Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2018-12-19,1791.356201171875,1806.235344433228,1783.712005217715,1806.235344433228,2498833
2018-12-20,1778.2518310546875,1797.2260161250108,1770.9260135418363,1778.0243225740167,1940277
2018-12-21,1725.2420654296875,1774.5658513235403,1716.8242530580246,1772.7457837837212,3729956
2018-12-24,1745.9000244140625,1764.4647380562617,1733.614566853682,1734.34263840362,1864116
2018-12-26,1719.2359619140625,1748.9031552769297,1701.9908643207696,1748.9031552769297,2446614
2018-12-27,1737.2088623046875,1767.0124672685329,1703.674141227111,1737.2544084268964,4968201
2018-12-28,1725.4696044921875,1747.2648692330542,1722.6939570094644,1742.7147003027599,2239130
2018-12-31,1722.7396240234375,1737.254619494391,1716.4603682413767,1736.3445856444723,1879740
2019-01-01,1731.612060546875,1738.1642583420378,1715.4134172642623,1725.4237873384836,1094883
2019-01-02,1750.268310546875,1760.4151000453978,1729.0644754391337,1733.614645111342,2100463
2019-01-03,1729.0186767578125,1769.970197826097,1722.78496743504,1746.3548651119638,2611668
2019-01-04,1707.996826171875,1730.1561258277573,1675.3721383621823,1729.0641297599927,4280862
2019-01-07,1727.1534423828125,1737.0728345776763,1711.7738465307534,1721.6022575489562,1856423
2019-01-08,1723.194580078125,1734.8884924188776,1713.8667334459583,1733.9784586011053,1691756
2019-01-09,1717.1881103515625,1746.3547359685608,1698.7599272336033,1735.7983668692268,2414376
2019-01-10,1718.644287109375,1733.614297897447,1703.6741652331982,1719.96379161479,3053461
2019-01-11,1676.783203125,1706.3137622009028,1669.912401940617,1701.763592168367,9209862
2019-01-14,1650.118896484375,1684.472674696031,1647.161286439663,1683.5626408361195,3615370
2019-01-15,1699.7613525390625,1701.1718384226285,1645.3412812140996,1647.1613490030534,7711653
2019-01-16,1701.9000244140625,1706.3136668814366,1680.8327161226737,1701.7634971030861,2359280
2019-01-17,1727.572509765625,1730.9468083282845,1706.5968635108566,1712.7071159328336,2625816
2019-01-18,1733.3631591796875,1736.600636979776,1710.8827216223376,1715.4426435882822,1683728
2019-01-21,1740.704833984375,1761.9541181383813,1728.6210389195026,1734.5945821424436,2409803
2019-01-22,1734.5030517578125,1749.413973565446,1723.650415763687,1739.2453258315443,2457093
2019-01-23,1710.51806640625,1738.3335930134588,1705.410975589517,1733.682494436188,2578169
2019-01-24,1734.18408203125,1737.5583799786075,1709.9708502610624,1718.9083424355845,1962927
2019-01-25,1751.7398681640625,1764.6900035042465,1733.6825305744562,1734.5945150723912,2327080
2019-01-28,1782.9296875,1789.3135789641944,1756.0261449008951,1762.866028612532,2769033
2019-01-29,1808.237060546875,1813.9826067701863,1766.1946021709837,1789.3133843363858,2557626
2019-01-30,1807.006103515625,1814.3931556715595,1782.6105182357987,1805.3644868915362,2429575
2019-01-31,1836.8277587890625,1841.980492917152,1810.289034999652,1812.113003800659,4094319
2019-02-01,1851.282958984375,1855.6605292750469,1822.236273861781,1832.6329198074488,3064163
2019-02-04,1869.7960205078125,1874.5382948685037,1844.944445549228,1851.2826926136813,1590764
2019-02-05,1864.59765625,1874.1278482226412,1849.5042706547526,1869.56792645081,1111404
2019-02-06,1892.1854248046875,1903.1748822098198,1861.405948910985,1869.4768778871917,1789812
2019-02-07,1899.572265625,1913.2976757217787,1885.0718023601316,1892.1396816384533,1339945
2019-02-08,1879.96435546875,1905.5912034757175,1870.4798077667847,1892.3674310658596,1684474
2019-02-11,1884.068359375,1911.5191770762353,1868.564625591462,1878.6877408287428,1778730
2019-02-12,1871.0274658203125,1887.807891349097,1840.384697943226,1887.807891349097,2422903
2019-02-14,1864.6434326171875,1892.3677828822506,1854.1100787419423,1878.7336595312534,1724085
2019-02-15,1851.0546875,1871.3919840994047,1833.9549800429513,1868.656030906277,1930065
2019-02-18,1796.883056640625,1862.2266552503972,1789.9063531376778,1858.2595450471465,2942184
2019-02-19,1737.1483154296875,1797.5216515866769,1725.474867986805,1796.6096669841468,4408554
2019-02-20,1746.2222900390625,1763.5956389827911,1715.7164535919824,1746.450286159971,4645778
2019-02-21,1745.7205810546875,1769.2498242792003,1730.0801368752623,1746.2222170302057,4683919
